Tract Number,Mean Age,Latitude,Longitude,GEOID
189704,40.8,34.079853,-118.3180955,1400000US06037192410
189801,45.5,34.07987,-118.311338,1400000US06037192420
189802,40.7,34.07989,-118.3068095,1400000US06037192510
189903,40.7,34.079912,-118.302506,1400000US06037192520
189904,34.7,34.0818485,-118.296073,1400000US06037192610
189905,37.7,34.0776705,-118.296054,1400000US06037192620
189906,34,34.0799595,-118.2880545,1400000US06037192700
189907,35.7,34.113159,-118.352492,1400000US06037194101
190101,34.3,34.116151,-118.365906,1400000US06037194102
190102,33.4,34.1037495,-118.3746145,1400000US06037194200
190201,29.3,34.102775,-118.3877725,1400000US06037194300
190202,35.9,34.08455,-118.3641455,1400000US06037194401
190302,35.9,34.0851935,-118.3719725,1400000US06037194402
190303,43.5,34.079028,-118.370116,1400000US06037194500
190401,41,34.1005075,-118.268184,1400000US06037195100
190402,38.6,34.1079075,-118.2783115,1400000US06037195201
190510,33.9,34.102058,-118.279132,1400000US06037195202
190520,38.1,34.098795,-118.285197,1400000US06037195300
190701,43.6,34.089784,-118.274927,1400000US06037195400
190702,41.5,34.089488,-118.2664995,1400000US06037195500
190801,34.8,34.0810905,-118.266765,1400000US06037195600
190802,39.8,34.0748915,-118.2684815,1400000US06037195710
190901,35.2,34.0738655,-118.2637,1400000US06037195720
190902,34.1,34.0756415,-118.2780525,1400000US06037195802
1910,33.6,34.0824335,-118.277218,1400000US06037195803
191110,51.5,34.0790005,-118.2729125,1400000US06037195804
191120,35.2,34.0880975,-118.2816585,1400000US06037195901
191201,41.4,34.08661,-118.279689,1400000US06037195902
191203,40.9,34.080591,-118.2818,1400000US06037195903
191204,38.8,34.0898635,-118.2358515,1400000US06037197200
191301,36.4,34.0815145,-118.2517655,1400000US06037197300
191302,33.7,34.094369,-118.2512135,1400000US06037197410
191410,35.6,34.082834,-118.2561185,1400000US06037197420
191420,33.1,34.0729805,-118.256785,1400000US06037197500
1915,35.3,34.0683535,-118.251864,1400000US06037197600
191610,32.3,34.068935,-118.2444855,1400000US06037197700
191620,34.5,34.081284,-118.21934,1400000US06037199000
191710,39.9,34.0797765,-118.197148,1400000US06037199110
191720,35.5,34.0713815,-118.200508,1400000US06037199120
191810,31.3,34.076463,-118.211518,1400000US06037199201
191820,32.5,34.0810735,-118.2029945,1400000US06037199202
191901,32.9,34.0915875,-118.2007585,1400000US06037199300
191902,35.4,34.0875695,-118.209014,1400000US06037199400
192001,38.3,34.0679435,-118.221008,1400000US06037199700
192002,39.7,34.070658,-118.2103495,1400000US06037199800
1923,41.3,34.0639545,-118.2104575,1400000US06037199900
192410,41.3,34.095485,-118.1746015,1400000US06037201110
